month,median_price_scenario,lower,upper
2015-06-30,904020.6418570976,885406.811573773,922634.4721404222
2015-07-31,903971.9966142261,885358.1663309016,922585.8268975507
2015-08-31,903933.080419929,885319.2501366044,922546.9107032536
2015-09-30,903901.9474644914,885288.1171811668,922515.7777478159
2015-10-31,903877.0411001411,885263.2108168165,922490.8713834657
2015-11-30,903857.116008661,885243.2857253364,922470.9462919856
2015-12-31,903841.1759354769,885227.3456521523,922455.0062188015
2016-01-31,903828.4238769296,885214.593593605,922442.2541602541
2016-02-29,903818.2222300918,885204.3919467672,922432.0525134164
2016-03-31,903810.0609126216,885196.230629297,922423.8911959461
2016-04-30,903803.5318586453,885189.7015753207,922417.3621419698
2016-05-31,903798.3086154644,885184.4783321398,922412.138898789
